Date,Open,High,Low,Close
12/22/2014 11:30:00 PM,1.50622,1.50628,1.5061,1.50623
12/22/2014 11:32:00 PM,1.50622,1.5065,1.50612,1.50638
12/22/2014 11:34:00 PM,1.50637,1.50638,1.50612,1.50614
12/22/2014 11:36:00 PM,1.50613,1.50628,1.50604,1.50625
12/22/2014 11:38:00 PM,1.50626,1.50651,1.50625,1.50646
12/22/2014 11:40:00 PM,1.50644,1.50696,1.50643,1.5069
12/22/2014 11:42:00 PM,1.50694,1.50734,1.50686,1.50715
12/22/2014 11:44:00 PM,1.50716,1.50724,1.50696,1.50702
12/22/2014 11:46:00 PM,1.50703,1.50708,1.50688,1.507
12/22/2014 11:48:00 PM,1.50698,1.50702,1.50694,1.507
12/22/2014 11:50:00 PM,1.50701,1.50705,1.50689,1.50701
12/22/2014 11:52:00 PM,1.507,1.50702,1.50692,1.50696
12/22/2014 11:54:00 PM,1.50694,1.5071,1.50689,1.50699
12/22/2014 11:56:00 PM,1.50698,1.50702,1.5069,1.50697
12/22/2014 11:58:00 PM,1.50699,1.50703,1.50674,1.50689
12/22/2014 11:59:00 PM,1.50688,1.50696,1.50686,1.50695
12/23/2014 12:00:00 AM,1.50694,1.50695,1.50682,1.50686
12/23/2014 12:02:00 AM,1.50684,1.50688,1.5068,1.50684
12/23/2014 12:04:00 AM,1.50684,1.50693,1.50678,1.5068
12/23/2014 12:06:00 AM,1.5068,1.50682,1.50662,1.50668
12/23/2014 12:08:00 AM,1.50668,1.50694,1.50668,1.50684
12/23/2014 12:10:00 AM,1.50686,1.50697,1.50677,1.50688
12/23/2014 12:12:00 AM,1.50687,1.50693,1.50682,1.50686
12/23/2014 12:14:00 AM,1.50686,1.5069,1.50678,1.50681
12/23/2014 12:16:00 AM,1.5068,1.50682,1.50667,1.5067
12/23/2014 12:18:00 AM,1.50666,1.50678,1.50655,1.50657
12/23/2014 12:20:00 AM,1.50656,1.50672,1.5065,1.5067
12/23/2014 12:22:00 AM,1.50671,1.50682,1.50662,1.50677
12/23/2014 12:24:00 AM,1.50676,1.50684,1.50673,1.50682
12/23/2014 12:26:00 AM,1.50681,1.50682,1.50663,1.50678
12/23/2014 12:28:00 AM,1.50678,1.50678,1.5067,1.50672
12/23/2014 12:30:00 AM,1.50673,1.50706,1.5067,1.507
12/23/2014 12:32:00 AM,1.50699,1.5073,1.50683,1.50712
12/23/2014 12:34:00 AM,1.50711,1.50712,1.50687,1.50691
12/23/2014 12:36:00 AM,1.50692,1.50696,1.50674,1.50681
12/23/2014 12:38:00 AM,1.5068,1.50729,1.50679,1.50713
12/23/2014 12:40:00 AM,1.50714,1.5074,1.50713,1.50728
12/23/2014 12:42:00 AM,1.50724,1.50728,1.50709,1.50726
12/23/2014 12:44:00 AM,1.50728,1.5074,1.50718,1.50734
12/23/2014 12:46:00 AM,1.50734,1.50766,1.50732,1.5076
12/23/2014 12:48:00 AM,1.50758,1.50908,1.50756,1.50859
12/23/2014 12:50:00 AM,1.5086,1.50934,1.50852,1.50904
12/23/2014 12:52:00 AM,1.50904,1.5091,1.50885,1.50902
12/23/2014 12:54:00 AM,1.50901,1.51015,1.509,1.50902
12/23/2014 12:56:00 AM,1.50902,1.50914,1.5088,1.50896
12/23/2014 12:58:00 AM,1.50897,1.50918,1.50881,1.50889
12/23/2014 1:00:00 AM,1.5089,1.50894,1.50825,1.50893
12/23/2014 1:02:00 AM,1.50892,1.50907,1.50845,1.50859
12/23/2014 1:04:00 AM,1.50858,1.50902,1.50855,1.509
12/23/2014 1:06:00 AM,1.50902,1.5096,1.50894,1.50939
12/23/2014 1:08:00 AM,1.50938,1.50941,1.50916,1.50918
12/23/2014 1:10:00 AM,1.50918,1.50949,1.50889,1.50895
12/23/2014 1:12:00 AM,1.50894,1.50898,1.50857,1.5087
12/23/2014 1:14:00 AM,1.5087,1.50936,1.5087,1.50898
12/23/2014 1:16:00 AM,1.509,1.50916,1.50892,1.5091
12/23/2014 1:18:00 AM,1.50907,1.50952,1.50898,1.50938
12/23/2014 1:20:00 AM,1.50937,1.50957,1.50923,1.50923
12/23/2014 1:22:00 AM,1.50924,1.50988,1.50922,1.50984
12/23/2014 1:24:00 AM,1.50983,1.51128,1.50978,1.5108
12/23/2014 1:26:00 AM,1.51078,1.51106,1.51024,1.51088
12/23/2014 1:28:00 AM,1.51087,1.51138,1.51061,1.51114
12/23/2014 1:30:00 AM,1.51114,1.51236,1.51112,1.51162
12/23/2014 1:32:00 AM,1.51164,1.51182,1.51116,1.51148
12/23/2014 1:34:00 AM,1.51148,1.51165,1.51108,1.51114
12/23/2014 1:36:00 AM,1.51113,1.51114,1.51068,1.5109
12/23/2014 1:38:00 AM,1.51092,1.51137,1.5109,1.51135
12/23/2014 1:40:00 AM,1.51136,1.51137,1.51061,1.51061
12/23/2014 1:42:00 AM,1.5106,1.51061,1.51,1.51004
12/23/2014 1:44:00 AM,1.51004,1.51022,1.50973,1.51014
12/23/2014 1:46:00 AM,1.51014,1.51026,1.50996,1.5102
12/23/2014 1:48:00 AM,1.51021,1.51042,1.50975,1.50979
12/23/2014 1:50:00 AM,1.5098,1.51027,1.50979,1.51016
12/23/2014 1:52:00 AM,1.51016,1.51024,1.5098,1.50985
12/23/2014 1:54:00 AM,1.50986,1.50995,1.5096,1.5096
12/23/2014 1:56:00 AM,1.50962,1.50974,1.50933,1.50935
12/23/2014 1:58:00 AM,1.50934,1.50964,1.50918,1.50958
12/23/2014 2:00:00 AM,1.50958,1.50982,1.50924,1.5093
12/23/2014 2:02:00 AM,1.50929,1.50945,1.50894,1.50899
12/23/2014 2:04:00 AM,1.50898,1.50899,1.50812,1.5083
12/23/2014 2:06:00 AM,1.50828,1.50886,1.50804,1.50886
12/23/2014 2:08:00 AM,1.50886,1.50917,1.50841,1.50889
12/23/2014 2:10:00 AM,1.5089,1.50943,1.50889,1.50932
12/23/2014 2:12:00 AM,1.50935,1.50946,1.50924,1.5093
12/23/2014 2:14:00 AM,1.50928,1.50936,1.50904,1.5091
12/23/2014 2:16:00 AM,1.5091,1.5091,1.50876,1.50894
12/23/2014 2:18:00 AM,1.50894,1.50914,1.50892,1.509
12/23/2014 2:20:00 AM,1.509,1.50906,1.50884,1.50884
12/23/2014 2:22:00 AM,1.50885,1.50901,1.50884,1.50892
12/23/2014 2:24:00 AM,1.50893,1.50905,1.50847,1.50848
12/23/2014 2:26:00 AM,1.50848,1.50849,1.50794,1.50796
12/23/2014 2:28:00 AM,1.50796,1.50821,1.5079,1.50819
12/23/2014 2:30:00 AM,1.50819,1.5082,1.50747,1.50747
12/23/2014 2:32:00 AM,1.50746,1.50772,1.50723,1.50772
12/23/2014 2:34:00 AM,1.5077,1.50815,1.50766,1.50801
12/23/2014 2:36:00 AM,1.508,1.50801,1.50776,1.50785
12/23/2014 2:38:00 AM,1.50784,1.50789,1.50753,1.50776
12/23/2014 2:40:00 AM,1.50778,1.50784,1.50749,1.50776
12/23/2014 2:42:00 AM,1.50777,1.508,1.50756,1.5077
12/23/2014 2:44:00 AM,1.50772,1.50794,1.5077,1.50775
12/23/2014 2:46:00 AM,1.50774,1.50775,1.50743,1.50751
12/23/2014 2:48:00 AM,1.50753,1.50812,1.50751,1.5077
12/23/2014 2:50:00 AM,1.5077,1.50774,1.50706,1.5072
12/23/2014 2:52:00 AM,1.50719,1.50746,1.50712,1.5074
